bench	|С.скамья, верстак, стол
seamless	|П.без швов,прозрачность,незаметность
gather		|Г.собираться(на площади);набирать,накоплять
pending		|П.незакончанный,висящий;Пре.в продолжение,в течении
	pending			|ожидающей решение,находящийся на рассмотрении(under consideration); ждущий обработки;незаконченный(unfinished),нерешённый(unresolved)
alter 		|Г.изменять, переделовать, вносить изменения
alert		|С.тревога;П.бдительный,настороженный;Г.предупреждать, объявлять тревогу
underlay	|Г.подкладывать, подпирать;С.база,основа
preserve	|сохранять,оберегать,защищать
excellent	|отличный, отменный
impact		|С. воздействие,влияние;Г.ударять,толкать,сильно воздействовать ['ɪmpækt]
consume		|истреблять, уничтожать;тратить, изнашивать
score		|счёт очков, оценка, показатель
	score		|с.оценка,метрика,положение, таблица кадров
	scores		|c.множество(большое количество)
	score			|счет, очки, показатель, оценка, балл, результат, показатель.
	score		|счет очков, основание, причина; набирать очки, выигрывать, вести счет
spawn		|порождать,плодиться, метать икру
tricky		|хитрый
assurance	|гарантия,заверения;убежденность,уверенность
strangle	|господствовать, задушить, давить
mashup		|давить
pace		|темп
pace		|с.шаг, длина шага, скорость,темп
pace		|темп(rate),ритм(rhythm), скорость, шаг
pace		|С.скорость,темп
latency		|задержка(delay), времяожидания; скрытое состояние [ˈleɪtənsɪ]
articulate	|четкий, членораздельный,ясный;сочленять,соединять
	articulate	|Г.формулировать,артикулировать;выразить(express),озвучить(voice);членораздельный,четкий(precise, explicit);Н.отчетливо(clear)
terminate	|ограничивать,кончать(ся);обрываться
excel	|Г.превосходить,выделяться,быть лучше
perfect		|совершенный,безупречный
deflate		|выпускать(возд);опровергать;понижать порядок
intermediate	|промежуточный, переходной, вспомогательный
alone		|единственный,один; без постор. помощи
dude		|чувак,пижон
ratio		|отношение,пропорция,коэффициент,передаточное число
refuse		|отверать,отклонять;мусор
transaction	|дело,сделка,согласие;входное сообщение
constitution	|составлять;основывать;учереждать;вводить в силу,принимать(зак)
oversight	|надзор, контроль(supervision); недосмотр, оплошность, упущение(mistake) [ˈəʊvəsaɪt]
look ahead	|думать о чем либо;смотреть вперед(вбудущее);берегись
efficient	|действенный, результативный, квалифицированный
	efficient 	|п.действенный,эффективный,рациональный;с.фактор
	efficient	|п. действительный, результативный, эффективный
offer		|предлогать(сделку, цену),выражать,ассортимент,предлогать
condition	|состояние,положение;обстоятельства,условия
yield		|Г.приносить(bring, offer up),производить(produce,manufacture), давать(give,let,afford,provide), париводить(lead); доход(income,earnings),добыча;плоды
	yielding	|приносящий
ratio       |отношение,пропорция,коэффициент
too         |излишни,слишком,весьма,очень,так же
honestly	|честно,правдиво
fair 		|П.честный, справедливый; С. выставка, ярмарка [feə]
semicolon	|точка с запятой
inflate		|наполнять,надувать
surround	|окружать,обступать
imbue       |пропитывать,проникать;вселять,внушать,вдохновлять
even        |п.ровный;равный, тот же самый;н.даже,ровно,точно
even	|н.даже,ровно,точно;г.выровнять;п.равный,ровномерный
even        |г.выравнивать,сглаживать,невилировать
even		|Н.даже;г.ровнять;П.плоский, ровный
predicate   |утверждать.заявлять;объявлять
enmity      |вражда,антогонизм,неприязнь
account     |счет,расчет;отчет,доклад;бюджет
transcend   |переступать пределы;превосходить,превышать
contiguous  |смежный,прилегающий;очередной,ближлежащий
bandage     |бинт,повязка;бинтовать,перевязывать
bootstrap   |начальная загрузка;улучшать,совершенствовать
seek        |искать;добиваться,стремиться;обращаться(за помощью),прибегать
unfortunately|к несчастью, к сожалению
idle        |бесполезный;неработающий,незанятый
expiration  |конец,истечерние срока
design      |замысел,модель,цель,направляться
designed    |соответсвующий плану, предназначенный
featured    |известный, популярный
feature		|Г.присутствовать, деомнстрировать;С.черта,свойствоэ, элемент
apologize   |извиняться,просить прощения
snippet     |отрезок;обломок;кусок;место;фрагмент
kit         |набор, комплект, снаряжение, экипировка
anxious		|беспокоющийся, стремящийся,озабоченый
disparity    |неравенство,несоответствие;разногласия,дисбаланс
ease        |облегчение,покой;свобода,легкость
cute        |изящный,привлекательный,ловкий,хитрый
thresh      |бить,пороть,молотить;победить
deserve		|заслуживать,быть достойным
pitfall		|ловушка,подвох;просчет,заблуждение,подводный комень
influence	|С.влияние,воздействие(impact),действие(action);Г.влиять(affect);действовать(act)
	fluence		|поток, плотность энергии
	heavily influenced |под сильным влиянием
fairly		|красиво,четко,ясно;объективно;довольно
depose		|свергнуть, сместить
identical	|тот же самый, диентичный, одинаковый, тождественный
busiest		|занятый,перегруженный,рабтаю-й(над чем либо)
tend		|c:склонность;г:ухаживать,обслуживать,следить
	tend		|Г.иметь тенденцию,иметь склонность,направляться,стремиться
fall		|падать, снижаться
enrollment	|зачисление,внесение в список, регистрация; подстройка
expension	|расширение,утолщение
Gnarly(gnarled)|несговорчивый,угловатый,скучноватый
odd			|П.случайный, нерегулярный;непарный;превышающий,добавочный
odds		|С.вероятность, шанс, трудность,разногласие
abuse		|Г.злоупотребять(misuse), оскорблять(insult), ругать, , плохообращаться [əˈbjuːs] [mɪsˈjuːs]
misuse		|Г.Злоупотребление, неправильно использование (illegal use)
abuser		|С.наркоман(addict), нарушитель(violator),злоумышленник(attacker).П.нападающий(attacker)
